StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus
9255,8.0,1,3,3,87,4.6,1,0,83,88,1
1562,7.6,1,2,1,87,3.8,1,1,61,85,0
1671,8.2,1,3,2,86,4.4,1,1,76,65,1
6088,7.7,1,1,0,64,4.1,0,0,55,59,0
6670,8.5,2,3,2,90,4.8,1,0,80,87,1
5934,7.5,1,2,2,86,4.8,1,1,77,81,1
8830,8.3,1,3,2,88,4.8,1,1,74,88,1
7946,8.0,1,3,2,90,4.8,1,1,70,84,1
3509,6.7,1,2,2,83,4.8,1,0,65,80,1
2003,8.2,1,2,2,74,4.4,1,1,72,81,1
5867,8.0,2,2,2,85,4.5,1,1,79,81,0
169,7.5,1,1,1,74,3.9,0,0,63,65,0
2589,7.3,2,2,1,85,4.8,0,0,56,69,0
5906,7.0,0,3,2,90,4.1,1,1,73,68,0
9530,7.6,0,1,1,69,3.9,0,0,55,69,0
6385,8.4,2,3,2,90,4.7,1,1,77,84,1
7825,6.9,0,1,2,72,4.8,1,1,58,85,1
9780,7.2,0,1,1,65,3.8,0,1,55,59,0
4630,8.1,2,3,0,88,4.6,1,1,78,67,1
8561,6.6,1,1,0,72,3.2,0,1,55,68,0
9292,8.7,1,3,0,89,4.5,1,1,70,84,1
6875,7.4,1,2,0,88,4.6,0,1,73,66,0
6522,7.5,0,3,0,89,3.9,0,1,77,76,1
8980,8.6,2,3,0,87,4.7,1,1,76,73,0
6648,8.3,1,2,1,77,4.2,0,1,67,84,0
9826,7.7,1,3,3,80,4.1,1,1,78,81,0
211,8.3,1,2,1,82,4.7,1,1,77,84,0
5279,6.5,1,2,0,86,4.4,1,1,66,69,1
1920,8.2,0,3,2,90,4.8,1,1,70,84,1
719,8.1,2,3,2,87,4.4,1,1,86,83,1
4869,8.5,2,3,1,85,4.1,1,1,89,79,1
7835,6.5,1,3,1,76,4.1,1,1,55,74,0
1299,7.5,1,1,0,78,4.0,0,0,55,71,0
9194,8.6,2,3,2,81,4.8,0,1,68,79,1
4618,8.8,2,2,2,77,3.9,1,0,87,81,0
3129,6.9,0,2,0,63,4.3,0,0,69,68,0
9796,8.1,2,3,2,90,4.8,1,1,75,82,1
3980,8.7,2,3,2,90,4.8,1,1,79,85,1
9925,8.3,0,1,1,80,4.3,1,0,63,69,0
8318,6.7,0,1,0,74,4.0,0,0,60,63,0
4394,7.7,1,1,0,80,4.2,1,1,79,84,1
1288,8.2,1,2,0,82,3.9,1,1,75,86,0
4356,7.6,0,1,0,68,4.0,0,1,56,70,0
7014,8.1,1,3,0,85,3.7,1,1,55,79,1
3886,8.4,2,3,1,87,4.8,1,0,84,81,1
5750,7.4,1,1,1,78,3.7,0,1,55,64,1
9170,7.6,2,2,0,77,4.5,0,1,69,65,0
2408,7.4,1,3,2,83,4.5,1,0,84,79,1
2014,7.9,1,2,0,75,3.8,1,0,57,66,0
5154,7.7,1,1,2,85,3.6,0,0,58,72,1
8552,6.9,1,2,0,69,4.0,0,1,55,58,0
4377,6.5,1,2,0,74,4.0,0,1,80,64,1
8823,8.1,0,2,1,88,3.8,1,1,72,82,0
4274,7.3,1,1,0,68,4.4,0,0,57,61,0
5826,8.7,1,3,2,85,4.1,1,1,83,86,0
6700,6.5,2,1,0,87,4.4,0,0,69,68,0
7244,8.0,1,1,2,82,4.8,0,0,69,68,0
450,8.3,2,3,2,87,4.8,1,1,74,80,0
2228,7.8,1,3,0,81,4.5,1,1,79,72,1
5757,7.6,2,2,1,88,4.6,1,1,79,86,0
811,7.7,1,2,0,78,4.4,1,1,80,83,0
4181,8.4,1,1,2,79,4.6,0,1,76,85,0
9001,7.8,1,3,2,90,4.8,1,1,83,88,1
5439,7.9,1,1,0,71,4.4,0,1,79,71,0
7534,6.5,2,3,2,71,3.8,1,1,66,80,1
6370,7.3,0,2,0,83,4.2,0,1,71,66,0
8417,7.4,2,1,0,80,4.0,1,1,69,67,0
1478,7.4,1,2,0,76,4.2,1,1,75,65,0
1791,8.2,1,2,0,74,4.8,1,0,78,66,1
2009,8.5,2,3,0,76,4.8,1,1,85,88,1
683,7.1,0,2,2,76,4.2,0,0,63,64,0
2817,8.5,0,3,2,90,4.7,1,1,81,81,1
9432,7.7,1,1,1,66,4.1,0,1,59,61,0
3775,7.7,1,2,1,83,4.5,0,0,65,70,1
6496,7.8,1,1,1,78,4.2,0,0,55,72,0
8879,7.9,1,3,2,78,4.3,1,1,89,86,1
7362,7.8,0,2,2,80,3.9,1,1,55,67,0
8367,7.3,0,1,1,71,4.6,0,0,57,67,0
7475,8.5,1,3,2,86,4.7,1,1,73,83,1
47,6.9,1,1,1,76,4.4,0,0,55,65,0
31,8.4,2,3,2,90,4.6,1,1,55,80,1
8251,7.5,1,1,1,79,3.9,0,0,55,73,0
6936,6.5,1,1,0,80,4.4,1,1,55,66,0
1469,8.5,0,3,2,84,4.1,1,1,84,84,0
1666,8.6,1,2,0,87,4.8,1,1,74,76,1
1417,7.5,1,1,3,77,4.1,0,1,83,69,0
6481,8.2,1,3,2,81,4.3,1,1,82,84,1
4853,8.5,1,3,2,87,4.8,1,1,67,85,1
2471,8.1,1,1,0,70,4.3,1,0,68,61,0
4374,8.3,0,3,2,87,4.7,1,1,77,83,1
8525,7.9,2,2,0,77,4.4,0,1,68,68,1
430,8.3,1,2,0,90,4.5,1,1,82,80,1
5245,8.6,1,1,0,69,4.7,0,1,58,72,0
2120,6.5,0,2,1,75,3.9,0,1,56,63,0
386,8.5,1,3,2,74,4.1,0,1,76,68,1
1946,8.4,2,3,2,89,4.8,1,1,73,81,0
4225,6.5,1,3,2,90,4.8,1,1,76,82,1
474,7.8,0,3,2,77,4.2,1,1,83,76,0
2130,7.9,0,3,2,90,4.4,1,1,88,83,1
6557,7.1,1,2,2,74,4.3,1,1,55,66,0
6999,8.1,1,3,2,85,4.8,0,1,55,73,1
1056,7.7,0,2,0,73,4.2,1,1,82,87,1
3275,8.2,2,3,2,89,4.8,1,1,84,86,1
4962,8.4,2,3,2,90,4.8,1,1,70,86,1
5364,8.4,0,2,0,81,4.4,1,1,61,68,1
5817,8.5,1,1,2,87,4.5,1,1,67,67,1
812,7.6,1,1,0,79,3.9,0,0,57,62,0
4574,8.1,1,1,1,86,4.5,0,1,73,69,0
6138,7.5,1,1,2,78,4.3,1,0,58,70,1
2389,7.6,1,1,1,85,4.1,0,1,85,70,0
9649,8.4,2,3,0,89,4.6,1,1,87,82,1
6226,7.4,1,2,1,75,4.6,0,1,55,66,0
112,7.3,1,3,1,81,4.2,1,1,69,65,0
8910,8.1,2,3,2,68,4.5,1,1,76,85,0
1746,8.5,0,3,0,88,4.8,1,1,88,82,1
7852,7.9,0,2,1,72,4.3,1,1,60,72,0
1453,8.2,2,3,1,90,4.8,1,1,73,68,1
320,7.5,1,1,1,81,4.5,1,1,64,68,0
8594,7.4,1,1,0,62,3.6,0,0,57,72,0
3334,6.5,2,1,1,83,3.6,1,1,76,67,0
1923,6.5,1,2,1,78,4.4,1,1,77,73,0
5866,6.5,1,1,0,68,4.8,0,1,62,66,0
9529,8.3,0,1,0,81,4.4,1,0,76,80,0
3686,7.4,0,1,2,79,4.4,1,0,55,68,1
4276,8.3,2,2,1,88,4.6,1,1,80,81,1
4890,8.1,1,2,1,77,3.8,1,0,70,64,0
5226,8.3,1,3,2,82,4.7,1,1,66,68,1
7473,6.5,2,1,0,78,4.4,0,1,75,65,0
3606,7.8,1,3,0,74,4.2,1,0,62,84,0
1053,8.7,0,1,2,90,4.5,1,1,76,87,1
4157,8.0,0,1,0,79,3.4,0,1,80,74,0
9677,6.5,0,2,2,78,4.2,0,1,59,77,0
100,7.9,0,1,2,83,4.8,1,0,58,81,0
7509,8.2,2,2,3,84,4.8,1,1,79,80,0
1457,8.3,1,1,1,70,4.8,1,1,64,86,0
7689,7.3,1,3,0,71,4.5,0,0,58,70,0
4005,7.9,1,1,1,75,4.4,1,1,74,70,0
6867,8.3,1,1,1,73,4.3,1,1,59,62,0
4510,8.1,1,1,0,79,4.4,1,1,73,88,0
3300,7.1,1,3,2,76,4.8,1,1,78,80,1
3800,7.6,0,1,2,77,4.0,1,1,55,82,0
4282,6.6,1,1,0,72,4.2,0,0,55,61,0
9052,8.3,1,3,2,90,4.5,1,1,68,82,1
6463,8.4,2,3,1,76,4.8,1,1,56,80,0
7913,7.8,2,2,2,81,4.5,1,1,85,57,1
1415,8.4,2,3,2,90,4.7,1,1,75,87,1
541,8.7,2,3,2,90,4.8,1,1,75,88,1
5816,8.5,2,3,2,90,4.7,1,1,73,85,1
8200,7.6,1,1,1,71,4.2,0,0,64,71,0
3681,7.8,0,1,2,76,4.3,1,1,60,73,0
755,6.8,1,1,0,67,4.3,1,0,84,61,0
4197,8.3,2,3,2,81,4.7,1,1,84,85,0
2651,8.5,1,2,0,85,4.3,0,1,55,83,1
4523,7.5,1,2,0,72,4.4,0,1,77,69,1
9520,8.7,1,1,1,80,4.1,1,1,69,79,1
3119,8.1,1,2,1,85,4.7,0,1,55,80,0
3729,7.4,0,1,0,66,3.7,0,0,55,70,0
3887,6.5,0,3,1,79,4.3,1,1,58,82,0
7108,8.0,2,3,2,83,4.5,1,1,79,87,1
8069,8.9,1,3,2,90,4.6,1,1,71,81,1
7326,7.5,0,1,0,81,4.2,0,0,67,60,0
8484,8.2,0,3,2,81,4.6,1,1,77,81,0
8768,6.5,0,3,0,77,4.2,0,0,78,61,0
6501,7.9,0,1,1,69,3.6,1,1,76,63,0
8427,7.9,0,3,2,80,4.2,1,1,79,85,1
7964,7.2,1,2,0,80,4.6,0,1,65,58,0
602,7.5,0,2,1,63,3.5,0,1,75,66,0
9250,7.6,1,1,2,79,4.4,1,1,65,69,1
8920,8.7,2,2,0,89,4.5,0,1,78,71,1
6815,8.3,1,3,2,90,4.8,1,0,82,84,1
5412,7.7,1,3,0,78,4.4,1,0,55,62,0
8748,8.0,2,3,2,90,4.8,1,1,80,88,1
5523,7.2,1,1,0,66,3.9,1,0,61,67,0
1045,7.6,1,2,0,76,3.8,1,1,55,73,1
7335,7.8,0,1,0,74,4.5,0,0,55,69,0
1558,6.7,1,1,1,60,4.3,0,0,59,63,0
3740,7.6,1,1,0,74,3.3,0,0,56,69,0
3523,7.7,1,1,1,69,4.0,1,1,79,85,0
181,8.4,0,1,2,88,4.8,1,1,74,82,1
2116,6.6,0,1,1,71,4.4,1,1,64,85,0
1700,7.4,1,2,0,79,4.7,1,1,86,83,0
1380,7.5,1,1,1,84,4.3,0,1,55,67,0
7230,6.7,1,2,0,72,4.3,0,1,55,72,0
9144,8.1,1,1,0,86,4.8,0,1,61,82,1
619,6.5,1,1,0,84,4.5,1,1,55,84,0
3182,7.8,1,3,1,88,4.0,0,1,72,83,0
9852,8.3,2,3,2,90,4.8,1,1,67,88,1
1601,8.2,1,3,0,88,4.8,0,1,77,88,1
5964,7.7,1,1,0,90,4.8,0,1,79,80,1
1616,8.6,2,3,3,87,4.8,0,1,73,85,1
5921,7.1,1,3,2,88,4.0,1,1,78,65,1
9592,7.8,1,3,1,77,3.7,0,1,72,85,0
3892,7.6,1,1,0,74,3.8,0,1,61,66,0
2084,8.7,1,2,2,84,4.3,0,0,78,87,0
4575,7.6,0,1,0,70,4.6,0,1,77,64,1
5595,8.0,1,3,2,77,4.5,1,0,78,77,0
5122,8.3,2,2,2,90,4.8,1,1,71,83,1
4588,7.4,0,1,0,76,3.7,0,1,62,68,0
4903,8.1,1,3,0,77,4.1,0,1,70,84,0
8253,8.5,2,3,2,90,4.8,1,1,79,82,1
5917,7.5,0,2,1,83,4.6,0,1,55,69,0
5130,6.7,1,1,1,76,3.9,0,0,62,65,0
8335,6.5,2,3,0,81,3.5,0,1,55,62,0
1919,7.4,2,1,3,66,3.9,0,0,61,57,0
8331,8.6,2,3,2,84,4.6,1,1,80,85,1
5708,7.7,1,1,0,82,4.5,1,1,55,84,0
5385,8.5,2,2,0,85,4.5,1,1,71,78,1
6337,7.8,1,2,2,90,4.8,1,1,81,80,1
2055,8.3,2,3,2,90,4.8,1,1,78,87,1
7613,7.7,1,2,0,80,3.5,1,1,79,84,0
9210,7.5,1,2,0,78,4.0,1,1,66,85,0
3964,6.7,0,1,0,74,4.2,1,1,55,68,0
1127,7.5,0,3,1,84,4.2,0,1,56,68,0
3429,8.4,1,3,2,83,4.8,1,1,65,71,1
4602,6.5,0,1,0,68,4.5,0,0,66,74,0
3722,8.2,1,2,0,79,4.8,1,1,78,69,0
2390,6.5,0,1,0,90,4.5,1,1,56,82,0
1323,6.8,0,1,1,61,3.5,1,1,57,62,0
1604,6.5,2,1,1,72,3.7,1,0,56,70,0
7225,7.7,1,2,0,82,4.4,0,1,55,69,0
7426,7.5,0,1,0,64,4.4,0,1,67,69,0
4337,7.2,0,2,0,82,3.9,1,0,69,64,1
5594,8.7,2,3,2,90,4.7,1,1,70,87,1
4412,7.5,1,3,1,74,4.7,1,1,78,68,1
5859,6.6,1,2,1,66,4.6,1,0,57,70,0
9344,6.8,1,1,1,67,4.4,0,0,68,65,0
3992,8.2,1,2,1,74,3.8,0,0,58,67,0
6080,8.1,1,3,2,80,4.7,0,1,67,67,1
1560,8.3,2,3,0,90,4.7,1,1,65,69,1
4683,8.5,2,3,2,90,4.8,1,1,82,70,1
7558,8.1,1,3,2,85,4.5,1,0,76,87,0
3773,8.3,0,3,2,90,4.3,1,1,77,85,1
8780,8.4,0,1,0,85,3.7,1,1,57,71,1
3458,7.7,0,1,1,60,4.7,0,0,59,62,0
8384,7.4,1,3,2,80,4.4,1,1,73,72,1
1355,7.7,0,1,0,78,4.3,1,0,55,68,0
46,6.7,1,1,2,73,4.5,0,0,55,66,1
9873,7.5,1,2,1,74,3.8,1,1,77,84,0
749,8.6,2,2,2,84,4.0,1,1,72,84,0
7918,8.3,0,3,1,73,4.4,1,1,76,75,0
4242,7.6,1,3,1,82,4.5,1,1,84,80,1
5629,8.9,0,3,3,87,4.8,1,1,73,88,1
4658,8.0,0,3,2,82,4.8,1,0,73,82,1
4239,8.5,0,3,2,83,4.5,0,0,70,69,0
3461,7.6,1,1,1,75,4.1,1,1,55,68,0
7382,7.5,0,1,1,74,4.0,0,1,55,69,0
5550,7.9,2,3,2,85,4.7,1,1,90,84,1
7076,8.5,1,2,2,90,4.8,1,1,80,83,1
5839,6.7,1,2,0,78,4.6,0,1,73,67,1
8092,8.5,1,1,1,84,4.6,0,1,71,81,0
5475,7.5,1,3,0,90,4.3,1,1,78,83,1
3615,7.8,1,2,1,81,4.6,1,1,82,84,0
7502,6.7,1,1,0,74,4.4,1,1,55,69,0
7054,7.9,1,1,2,74,3.5,0,0,88,72,0
7368,7.4,1,1,1,73,3.6,0,1,62,63,0
8020,6.6,1,3,0,62,3.8,1,1,57,72,0
9639,7.9,2,3,2,83,4.5,1,1,66,80,1
9056,7.4,0,1,0,79,4.2,1,1,61,65,0
665,8.5,0,3,1,83,4.0,1,1,59,82,0
2320,7.4,0,1,1,90,4.8,1,1,71,69,0
3543,6.6,1,1,0,64,3.2,1,1,55,62,0
3678,7.5,1,3,0,79,4.4,1,0,65,64,1
