iter	Logloss
0	0.6735463257
1	0.6552885742
2	0.6395296631
3	0.6247407837
4	0.6108619385
5	0.5985388184
6	0.5868408203
7	0.5758106689
8	0.5656972046
9	0.5563006592
10	0.5473327026
11	0.5390576782
12	0.5314053345
13	0.5249293213
14	0.5181425781
15	0.5120714111
16	0.5064605713
17	0.5011040649
18	0.4961323242
19	0.49165448
20	0.4871784973
21	0.4834066772
22	0.4794412231
23	0.4756509705
24	0.4721201172
25	0.4692094116
26	0.4661668701
27	0.4634856567
28	0.4607918091
29	0.4582504883
30	0.4559079285
31	0.4536660767
32	0.4515383911
33	0.4496160278
34	0.4483018188
35	0.4467385254
36	0.4450554199
37	0.4435584106
38	0.4419863281
39	0.4405559387
40	0.4392456665
41	0.4378584595
42	0.4366385193
43	0.4355338135
44	0.434571228
45	0.4333861694
46	0.4323660889
47	0.4314597168
48	0.4304337463
49	0.4296577454
50	0.4292262268
51	0.4284343872
52	0.4277362976
53	0.4269725342
54	0.4263872681
55	0.4257438354
56	0.4253325195
57	0.4247350769
58	0.424267334
59	0.4235795898
60	0.4230358887
61	0.4223473206
62	0.421950531
63	0.4213137207
64	0.4207444763
65	0.4203721313
66	0.4199290161
67	0.4194450378
68	0.4189698181
69	0.4185100708
70	0.4181630249
71	0.4177645264
72	0.417416626
73	0.4170474854
74	0.4167559814
75	0.4164482422
76	0.4160230713
77	0.4156835022
78	0.4153845215
79	0.4150608521
80	0.4146982727
81	0.414463623
82	0.4141681519
83	0.4138435974
84	0.4135731506
85	0.4135203247
86	0.4132842407
87	0.4130041504
88	0.4128069153
89	0.4126725464
90	0.4123782043
91	0.4122191162
92	0.4119807434
93	0.4118292236
94	0.411691925
95	0.4114113464
96	0.4112010498
97	0.4110360718
98	0.410774353
99	0.4105588379
