iter	Passed	Remaining
0	3	308
1	6	305
2	9	302
3	12	298
4	15	294
5	18	288
6	21	284
7	24	282
8	27	278
9	30	276
10	33	274
11	37	273
12	40	270
13	43	267
14	46	265
15	50	262
16	53	260
17	56	257
18	59	254
19	62	251
20	66	248
21	69	245
22	72	242
23	75	239
24	78	235
25	81	232
26	85	231
27	88	227
28	91	225
29	95	221
30	98	219
31	101	215
32	104	212
33	107	208
34	109	203
35	112	200
36	115	196
37	118	193
38	121	189
39	124	186
40	127	183
41	131	180
42	133	177
43	137	174
44	139	171
45	143	167
46	146	164
47	148	161
48	151	158
49	154	154
50	156	150
51	159	147
52	162	144
53	165	141
54	168	137
55	171	134
56	173	131
57	176	128
58	179	124
59	182	121
60	185	118
61	188	115
62	191	112
63	194	109
64	197	106
65	200	103
66	203	100
67	206	97
68	209	94
69	213	91
70	216	88
71	219	85
72	222	82
73	225	79
74	228	76
75	231	72
76	233	69
77	236	66
78	239	63
79	242	60
80	245	57
81	248	54
82	251	51
83	254	48
84	257	45
85	259	42
86	262	39
87	265	36
88	268	33
89	271	30
90	273	27
91	276	24
92	279	21
93	282	18
94	285	15
95	288	12
96	291	9
97	294	6
98	296	2
99	299	0
